condition,skill,skill_repo,skill_stars,skill_body_chars,model,model_id,case,case_kind,trial,pass_substance,pass_strict,protocol_ok,knew_command,bucket,detail,latency_ms,cost_usd,input_tokens,output_tokens,steps,skills_in_scope
A,anthropic__docx,anthropics/skills,172282,5944,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,docx-3,use_result,3,false,false,false,false,SELECTION,"never invoked a tool, so never saw the data",2138,0.000065,2331,11,1,1
A,anthropic__xlsx,anthropics/skills,172282,7503,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,xlsx-1,invoke,1,false,false,false,false,SELECTION,never invoked a tool,2412,0.000082,2698,45,1,1
A,anthropic__xlsx,anthropics/skills,172282,7503,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,xlsx-1,invoke,2,false,false,false,false,SELECTION,never invoked a tool,2734,0.000082,2698,45,1,1
A,anthropic__xlsx,anthropics/skills,172282,7503,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,xlsx-1,invoke,3,false,false,false,false,SELECTION,never invoked a tool,2877,0.000082,2698,45,1,1
A,anthropic__xlsx,anthropics/skills,172282,7503,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,xlsx-2,abstain,1,true,false,false,false,,abstained and answered correctly,2784,0.000074,2704,4,1,1
A,anthropic__xlsx,anthropics/skills,172282,7503,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,xlsx-2,abstain,2,true,false,false,false,,abstained and answered correctly,2756,0.000074,2704,4,1,1
A,anthropic__xlsx,anthropics/skills,172282,7503,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,xlsx-2,abstain,3,true,false,false,false,,abstained and answered correctly,2833,0.000074,2704,4,1,1
A,anthropic__xlsx,anthropics/skills,172282,7503,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,xlsx-3,use_result,1,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",2737,0.000075,2693,13,1,1
A,anthropic__xlsx,anthropics/skills,172282,7503,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,xlsx-3,use_result,2,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",2407,0.000075,2693,13,1,1
A,anthropic__xlsx,anthropics/skills,172282,7503,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,xlsx-3,use_result,3,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",2642,0.000075,2693,13,1,1
A,anthropic__pptx,anthropics/skills,172282,19820,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,pptx-1,invoke,1,false,false,false,false,ARGS,attempted a tool call that did not parse,4319,0.000222,5904,309,1,1
A,anthropic__pptx,anthropics/skills,172282,19820,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,pptx-1,invoke,2,false,false,false,false,ARGS,attempted a tool call that did not parse,6100,0.000252,5904,459,1,1
A,anthropic__pptx,anthropics/skills,172282,19820,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,pptx-1,invoke,3,false,false,false,false,ARGS,attempted a tool call that did not parse,7323,0.000222,5904,309,1,1
A,anthropic__pptx,anthropics/skills,172282,19820,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,pptx-2,abstain,1,true,false,false,false,,abstained and answered correctly,7372,0.000160,5900,4,1,1
A,anthropic__pptx,anthropics/skills,172282,19820,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,pptx-2,abstain,2,true,false,false,false,,abstained and answered correctly,7578,0.000160,5900,4,1,1
A,anthropic__pptx,anthropics/skills,172282,19820,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,pptx-2,abstain,3,true,false,false,false,,abstained and answered correctly,7402,0.000160,5900,4,1,1
A,anthropic__pptx,anthropics/skills,172282,19820,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,pptx-3,use_result,1,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",5914,0.000161,5906,10,1,1
A,anthropic__pptx,anthropics/skills,172282,19820,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,pptx-3,use_result,2,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",4247,0.000161,5906,10,1,1
A,anthropic__pptx,anthropics/skills,172282,19820,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,pptx-3,use_result,3,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",3127,0.000161,5906,10,1,1
A,anthropic__webapp-testing,anthropics/skills,172282,3574,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,web-1,invoke,1,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,3711,0.000063,1446,120,1,1
A,anthropic__webapp-testing,anthropics/skills,172282,3574,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,web-1,invoke,2,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,4204,0.000063,1446,120,1,1
A,anthropic__webapp-testing,anthropics/skills,172282,3574,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,web-1,invoke,3,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,4814,0.000063,1446,120,1,1
A,anthropic__webapp-testing,anthropics/skills,172282,3574,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,web-2,abstain,1,false,false,false,false,REASONING,abstained but answered wrongly: No.,4657,0.000040,1447,3,1,1
A,anthropic__webapp-testing,anthropics/skills,172282,3574,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,web-2,abstain,2,false,false,false,false,REASONING,abstained but answered wrongly: No.,4409,0.000040,1447,3,1,1
A,anthropic__webapp-testing,anthropics/skills,172282,3574,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,web-2,abstain,3,false,false,false,false,REASONING,abstained but answered wrongly: No.,4163,0.000040,1447,3,1,1
A,anthropic__webapp-testing,anthropics/skills,172282,3574,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,web-3,use_result,1,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",3341,0.000041,1442,10,1,1
A,anthropic__webapp-testing,anthropics/skills,172282,3574,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,web-3,use_result,2,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",2747,0.000041,1442,10,1,1
A,anthropic__webapp-testing,anthropics/skills,172282,3574,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,web-3,use_result,3,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",2032,0.000041,1442,10,1,1
A,gws__gws-gmail-send,googleworkspace/cli,30626,2364,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,gmail-1,invoke,1,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,3891,0.000138,1282,512,1,1
A,gws__gws-gmail-send,googleworkspace/cli,30626,2364,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,gmail-1,invoke,2,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,5852,0.000138,1282,512,1,1
A,gws__gws-gmail-send,googleworkspace/cli,30626,2364,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,gmail-1,invoke,3,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,8151,0.000138,1282,512,1,1
A,gws__gws-gmail-send,googleworkspace/cli,30626,2364,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,gmail-2,abstain,1,false,false,false,false,EAGER,attempted a tool call when no tool was needed,10672,0.000137,1267,512,1,1
A,gws__gws-gmail-send,googleworkspace/cli,30626,2364,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,gmail-2,abstain,2,false,false,false,false,EAGER,attempted a tool call when no tool was needed,12485,0.000137,1267,512,1,1
A,gws__gws-gmail-send,googleworkspace/cli,30626,2364,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,gmail-2,abstain,3,false,false,false,false,EAGER,attempted a tool call when no tool was needed,14279,0.000137,1267,512,1,1
A,gws__gws-gmail-send,googleworkspace/cli,30626,2364,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,gmail-3,use_result,1,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",12337,0.000036,1268,7,1,1
A,gws__gws-gmail-send,googleworkspace/cli,30626,2364,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,gmail-3,use_result,2,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",10430,0.000036,1268,7,1,1
A,gws__gws-gmail-send,googleworkspace/cli,30626,2364,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,gmail-3,use_result,3,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",8243,0.000036,1268,7,1,1
A,gws__gws-calendar-insert,googleworkspace/cli,30626,1518,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,cal-1,invoke,1,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,8112,0.000131,1102,503,1,1
A,gws__gws-calendar-insert,googleworkspace/cli,30626,1518,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,cal-1,invoke,2,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,8767,0.000131,1102,503,1,1
A,gws__gws-calendar-insert,googleworkspace/cli,30626,1518,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,cal-1,invoke,3,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,9666,0.000131,1102,503,1,1
A,gws__gws-calendar-insert,googleworkspace/cli,30626,1518,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,cal-2,abstain,1,true,false,false,false,,abstained and answered correctly,9633,0.000030,1073,4,1,1
A,gws__gws-calendar-insert,googleworkspace/cli,30626,1518,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,cal-2,abstain,2,true,false,false,false,,abstained and answered correctly,9576,0.000030,1073,4,1,1
A,gws__gws-calendar-insert,googleworkspace/cli,30626,1518,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,cal-2,abstain,3,true,false,false,false,,abstained and answered correctly,9570,0.000030,1073,4,1,1
A,gws__gws-calendar-insert,googleworkspace/cli,30626,1518,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,cal-3,use_result,1,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",7224,0.000030,1066,7,1,1
A,gws__gws-calendar-insert,googleworkspace/cli,30626,1518,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,cal-3,use_result,2,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",4635,0.000030,1066,7,1,1
A,gws__gws-calendar-insert,googleworkspace/cli,30626,1518,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,cal-3,use_result,3,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",1926,0.000030,1066,7,1,1
A,gws__gws-drive-upload,googleworkspace/cli,30626,1038,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,drive-1,invoke,1,false,false,false,false,ARGS,attempted a tool call that did not parse,2176,0.000031,875,35,1,1
A,gws__gws-drive-upload,googleworkspace/cli,30626,1038,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,drive-1,invoke,2,false,false,false,false,ARGS,attempted a tool call that did not parse,2410,0.000031,875,35,1,1
A,gws__gws-drive-upload,googleworkspace/cli,30626,1038,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,drive-1,invoke,3,false,false,false,false,ARGS,attempted a tool call that did not parse,2470,0.000031,875,35,1,1
A,gws__gws-drive-upload,googleworkspace/cli,30626,1038,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,drive-2,abstain,1,true,false,false,false,,abstained and answered correctly,2566,0.000030,881,30,1,1
A,gws__gws-drive-upload,googleworkspace/cli,30626,1038,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,drive-2,abstain,2,true,false,false,false,,abstained and answered correctly,2803,0.000030,881,30,1,1
A,gws__gws-drive-upload,googleworkspace/cli,30626,1038,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,drive-2,abstain,3,true,false,false,false,,abstained and answered correctly,2748,0.000030,881,30,1,1
A,gws__gws-drive-upload,googleworkspace/cli,30626,1038,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,drive-3,use_result,1,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",2628,0.000025,875,9,1,1
A,gws__gws-drive-upload,googleworkspace/cli,30626,1038,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,drive-3,use_result,2,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",2407,0.000025,875,9,1,1
A,gws__gws-drive-upload,googleworkspace/cli,30626,1038,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,drive-3,use_result,3,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",2524,0.000025,875,9,1,1
A,gws__gws-sheets,googleworkspace/cli,30626,2361,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,sheets-1,invoke,1,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,4838,0.000134,1145,512,1,1
A,gws__gws-sheets,googleworkspace/cli,30626,2361,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,sheets-1,invoke,2,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,6463,0.000134,1145,512,1,1
A,gws__gws-sheets,googleworkspace/cli,30626,2361,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,sheets-1,invoke,3,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,9384,0.000134,1145,512,1,1
A,gws__gws-sheets,googleworkspace/cli,30626,2361,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,sheets-2,abstain,1,true,false,false,false,,abstained and answered correctly,9248,0.000032,1148,6,1,1
A,gws__gws-sheets,googleworkspace/cli,30626,2361,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,sheets-2,abstain,2,true,false,false,false,,abstained and answered correctly,9183,0.000032,1148,6,1,1
A,gws__gws-sheets,googleworkspace/cli,30626,2361,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,sheets-2,abstain,3,true,false,false,false,,abstained and answered correctly,8909,0.000032,1148,6,1,1
A,gws__gws-sheets,googleworkspace/cli,30626,2361,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,sheets-3,use_result,1,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",6465,0.000032,1148,7,1,1
A,gws__gws-sheets,googleworkspace/cli,30626,2361,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,sheets-3,use_result,2,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",4552,0.000032,1148,7,1,1
A,gws__gws-sheets,googleworkspace/cli,30626,2361,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,sheets-3,use_result,3,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",1572,0.000032,1148,7,1,1
A,kepano__obsidian-cli,kepano/obsidian-skills,47444,2668,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,obs-1,invoke,1,false,false,false,false,SELECTION,never invoked a tool,1739,0.000039,1332,16,1,1
A,kepano__obsidian-cli,kepano/obsidian-skills,47444,2668,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,obs-1,invoke,2,false,false,false,false,SELECTION,never invoked a tool,1932,0.000039,1332,16,1,1
A,kepano__obsidian-cli,kepano/obsidian-skills,47444,2668,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,obs-1,invoke,3,false,false,false,false,SELECTION,never invoked a tool,2077,0.000039,1332,16,1,1
A,kepano__obsidian-cli,kepano/obsidian-skills,47444,2668,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,obs-2,abstain,1,false,false,false,false,REASONING,"abstained but answered wrongly: `file= <name>` targets a specific file in the vault, while `path=<path>` targets the vault's root directory.",2239,0.000042,1337,28,1,1
A,kepano__obsidian-cli,kepano/obsidian-skills,47444,2668,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,obs-2,abstain,2,false,false,false,false,REASONING,"abstained but answered wrongly: `file= <name>` targets a specific file in the vault, while `path=<path>` targets the vault's root directory.",2465,0.000042,1337,28,1,1
A,kepano__obsidian-cli,kepano/obsidian-skills,47444,2668,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,obs-2,abstain,3,false,false,false,false,REASONING,"abstained but answered wrongly: `file= <name>` targets a specific file in the vault, while `path=<path>` targets the vault's root directory.",2528,0.000042,1337,28,1,1
A,kepano__defuddle,kepano/obsidian-skills,47444,734,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,def-1,invoke,1,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,2359,0.000025,843,11,1,1
A,kepano__defuddle,kepano/obsidian-skills,47444,734,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,def-1,invoke,2,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,2312,0.000025,843,11,1,1
A,kepano__defuddle,kepano/obsidian-skills,47444,734,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,def-1,invoke,3,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,2277,0.000025,843,11,1,1
A,kepano__obsidian-cli,kepano/obsidian-skills,47444,2668,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,obs-3,use_result,1,false,false,true,false,REASONING,used the data but concluded wrongly: project 14,4725,0.000080,2720,35,2,1
A,kepano__obsidian-cli,kepano/obsidian-skills,47444,2668,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,obs-3,use_result,2,false,false,true,false,REASONING,used the data but concluded wrongly: project 14,4552,0.000080,2720,35,2,1
A,kepano__obsidian-cli,kepano/obsidian-skills,47444,2668,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,obs-3,use_result,3,false,false,true,false,REASONING,used the data but concluded wrongly: project 14,4486,0.000080,2720,35,2,1
A,kepano__defuddle,kepano/obsidian-skills,47444,734,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,def-2,invoke,1,false,false,true,true,ARGS,named the right command in prose but emitted no callable form,2049,0.000025,841,13,1,1
A,kepano__defuddle,kepano/obsidian-skills,47444,734,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,def-2,invoke,2,false,false,true,true,ARGS,named the right command in prose but emitted no callable form,1965,0.000025,841,13,1,1
A,kepano__defuddle,kepano/obsidian-skills,47444,734,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,def-2,invoke,3,false,false,true,true,ARGS,named the right command in prose but emitted no callable form,1912,0.000025,841,13,1,1
A,kepano__defuddle,kepano/obsidian-skills,47444,734,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,def-3,use_result,1,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",2019,0.000027,846,21,1,1
A,kepano__defuddle,kepano/obsidian-skills,47444,734,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,def-3,use_result,2,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",2381,0.000027,846,21,1,1
A,kepano__defuddle,kepano/obsidian-skills,47444,734,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,def-3,use_result,3,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",2358,0.000027,846,21,1,1
A,kepano__json-canvas,kepano/obsidian-skills,47444,7358,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,canvas-1,invoke,1,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,2531,0.000082,2783,36,1,1
A,kepano__json-canvas,kepano/obsidian-skills,47444,7358,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,canvas-1,invoke,2,false,false,false,false,SELECTION,never invoked a tool,2743,0.000082,2783,36,1,1
A,kepano__json-canvas,kepano/obsidian-skills,47444,7358,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,canvas-1,invoke,3,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,3030,0.000082,2783,36,1,1
A,kepano__json-canvas,kepano/obsidian-skills,47444,7358,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,canvas-2,abstain,1,true,false,false,false,,abstained and answered correctly,2945,0.000076,2788,2,1,1
A,kepano__json-canvas,kepano/obsidian-skills,47444,7358,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,canvas-2,abstain,2,true,false,false,false,,abstained and answered correctly,2580,0.000076,2788,2,1,1
A,kepano__json-canvas,kepano/obsidian-skills,47444,7358,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,canvas-2,abstain,3,true,false,false,false,,abstained and answered correctly,2598,0.000076,2788,2,1,1
A,kepano__json-canvas,kepano/obsidian-skills,47444,7358,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,canvas-3,use_result,1,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",2478,0.000078,2784,13,1,1
A,kepano__json-canvas,kepano/obsidian-skills,47444,7358,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,canvas-3,use_result,2,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",2275,0.000078,2784,13,1,1
A,kepano__json-canvas,kepano/obsidian-skills,47444,7358,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,canvas-3,use_result,3,false,false,true,false,SELECTION,"never invoked a tool, so never saw the data",2179,0.000078,2784,13,1,1
A,vercel__deploy,vercel-labs/agent-skills,30591,11458,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,vercel-1,invoke,1,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,4092,0.000196,3444,512,1,1
A,vercel__deploy,vercel-labs/agent-skills,30591,11458,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,vercel-1,invoke,2,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,6109,0.000196,3444,512,1,1
A,vercel__deploy,vercel-labs/agent-skills,30591,11458,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,vercel-1,invoke,3,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,8630,0.000196,3444,512,1,1
A,vercel__deploy,vercel-labs/agent-skills,30591,11458,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,vercel-2,abstain,1,true,false,false,false,,abstained and answered correctly,8614,0.000099,3450,29,1,1
A,vercel__deploy,vercel-labs/agent-skills,30591,11458,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,vercel-2,abstain,2,true,false,false,false,,abstained and answered correctly,8789,0.000099,3450,29,1,1
A,vercel__deploy,vercel-labs/agent-skills,30591,11458,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,vercel-2,abstain,3,true,false,false,false,,abstained and answered correctly,8876,0.000099,3450,29,1,1
A,vercel__deploy,vercel-labs/agent-skills,30591,11458,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,vercel-3,use_result,1,false,false,false,false,SELECTION,"never invoked a tool, so never saw the data",7023,0.000096,3450,14,1,1
A,vercel__deploy,vercel-labs/agent-skills,30591,11458,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,vercel-3,use_result,2,false,false,false,false,SELECTION,"never invoked a tool, so never saw the data",5233,0.000096,3450,14,1,1
A,vercel__deploy,vercel-labs/agent-skills,30591,11458,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,vercel-3,use_result,3,false,false,false,false,SELECTION,"never invoked a tool, so never saw the data",2858,0.000096,3450,14,1,1
A,vercel__cli-tokens,vercel-labs/agent-skills,30591,10100,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,tok-1,invoke,1,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,2923,0.000099,3244,58,1,1
A,vercel__cli-tokens,vercel-labs/agent-skills,30591,10100,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,tok-1,invoke,2,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,3055,0.000099,3244,58,1,1
A,vercel__cli-tokens,vercel-labs/agent-skills,30591,10100,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,tok-1,invoke,3,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,3238,0.000099,3244,58,1,1
A,vercel__cli-tokens,vercel-labs/agent-skills,30591,10100,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,tok-2,abstain,1,true,false,false,false,,abstained and answered correctly,3258,0.000089,3247,5,1,1
